,Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Height,Foot,Birth country,Passport country,Comp,Season,Main Pos,Tier,Status,Defensive Ability,Pass Ability,KeyPass Ability,Dribbling Ability,positioning Defence,progressiveRuns,runs,defending1v1,touchQuality,crossing,positioning Midfield,ballPlaying Deep,SetPieces Ability,Create Chances Ability,Sight play,decisionMake,Concentration Ability,Finishing Ability,Heading Ability,Interception Ability,Tackle Ability,Aerial Ability,Role,Role2,Stopper,Aerial CB,Ball Playing CB,Ball Carrying CB,Attacking FB,Wing Back,Inverted Wing Back,Defensive FB,Full Back CB,Ball Winner,Deep Lying Playmaker,Attacking Playmaker,Media Punta llegador,Box-to-box,Banda,Por dentro,Defensivo,Falso,False 9,Target Man,Box Forward,Advanced Forward,Score,Percentile,Potential
1511,Jennifer Hermoso,Pachuca,CF,32.0,0,0,19,1646,174,0,Spain,Spain,Mexico,Season,Forward,0,Titular,4.0123348017621145,93.93939393939395,87.87878787878789,85.0,85.0,53.0,5.796696035242291,2.7381057268722464,8.065418502202643,6.525991189427313,7.440528634361233,97.0,46.14483252591977,84.0,96.96969696969698,91.0,40.0,90.0,96.93877551020407,24.0,17.0,74.74747474747477,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.57,83.26,92.72,82.6,95.94238538556122,99.0,Max
1162,Mariona Caldentey,Barcelona,"LWF, LCMF",26.0,0,2024-06-30,17,1216,164,0,Spain,Spain,Spain,Season,Midfield,0,Titular,5.160553715097018,97.979797979798,100.0,72.0,46.0,86.0,7.8409843823947,2.285849503076195,9.177236157122575,9.01774727875059,5.510175106483672,98.0,79.43842833169808,100.0,100.0,100.0,35.0,93.0,90.81632653061223,32.0,12.0,40.40404040404041,Media Punta llegador,Attacking Playmaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.78,87.16,89.03,92.42,76.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.41542244862113,99.0,Max
1512,N. Robertson,Uppsala,CF,26.0,0,0,26,2425,0,0,United States,United States,Sweden 2nd Division,Season,Forward,0,Titular,4.838986784140969,20.2020202020202,33.333333333333336,24.0,25.0,27.0,4.462555066079295,4.037224669603525,5.4129955947136565,7.158149779735682,3.495594713656388,14.0,6.06146526824195,87.0,26.262626262626267,47.0,23.0,92.0,80.61224489795917,4.0,43.0,76.76767676767678,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.39,74.12,91.43,67.48,93.67644475671881,99.0,Max
1513,K. Asbjornsdottir,Stjarnan,CF,30.0,0,0,16,1259,0,0,Iceland,Iceland,Iceland,Season,Forward,0,Titular,7.303303964757708,82.82828282828284,85.85858585858587,85.0,73.0,87.0,8.593392070484581,7.549559471365638,7.587665198237884,8.17092511013216,6.482819383259911,74.0,6.06146526824195,73.0,86.86868686868688,72.0,77.0,80.0,90.81632653061223,25.0,79.0,93.93939393939395,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75,84.51,91.35,80.5,93.53592130686809,99.0,Max
1401,S. Camberos,América,"LW, CF, RW",22.0,0,2024-12-31,24,1939,170,0,United States,United States,Mexico,Season,Forward,0,Titular,3.947770700636943,80.80808080808082,85.85858585858587,100.0,31.0,100.0,9.952229299363058,5.620382165605095,8.095700636942677,9.345859872611467,3.8882165605095538,56.0,36.24706643805007,98.0,94.94949494949496,98.0,45.0,88.0,83.67346938775509,8.0,66.0,31.313131313131315,Banda,Por dentro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.31,88.93,69.68,80.8,0.0,0.0,0.0,0.0,93.46565958194275,99.0,Max
520,Ona Batlle,Manchester United,RB,23.0,0,0,12,1174,0,0,Spain,Spain,England,Season,Full Back,0,Suplente,5.8860946745562135,95.95959595959597,97.979797979798,95.0,99.0,98.0,9.66821639898563,4.696534234995773,8.420540997464075,8.913778529163144,9.003381234150464,94.0,5.3384651406136125,99.0,100.0,100.0,84.0,41.0,66.3265306122449,81.0,47.0,70.70707070707071,Wing Back,Attacking FB,0.0,0.0,0.0,0.0,84.87,90.91,80.25,72.51,68.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.76304233268927,99.0,Max
1514,A. Oshoala,Barcelona,CF,28.0,0,0,24,1384,173,0,Nigeria,Nigeria,Spain,Season,Forward,0,Titular,6.872026431718062,16.161616161616163,62.626262626262644,74.0,7.0,46.0,5.180176211453745,4.615638766519824,6.496475770925111,8.524229074889869,2.3881057268722463,33.0,6.06146526824195,49.0,56.565656565656575,74.0,28.000000000000004,98.0,91.83673469387755,2.0,54.0,49.494949494949495,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.22,75.13,90.83,73.44,92.62251888283858,99.0,Max
1515,K. Martínez,América,CF,25.0,0,0,29,1692,160,0,Mexico,Mexico,Mexico,Season,Forward,0,Titular,1.8094713656387664,35.35353535353536,84.84848484848486,37.0,32.0,26.0,3.4775330396475774,5.523348017621146,8.722246696035242,6.734801762114538,3.9035242290748897,61.0,93.69802560869225,86.0,76.76767676767678,93.0,48.0,87.0,93.87755102040816,4.0,73.0,67.6767676767677,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.99,81.2,90.7,78.71,92.39416827683121,98.0,Max
1516,M. Heyman,Canberra United,CF,34.0,0,0,16,1551,180,0,Australia,Australia,Australia,Season,Forward,0,Titular,4.3215859030837,62.626262626262644,93.93939393939395,87.0,34.0,87.0,7.86101321585903,5.169162995594713,7.094713656387666,6.693392070484582,3.852422907488987,53.0,6.06146526824195,77.0,77.77777777777779,78.0,20.0,81.0,76.53061224489795,6.0,39.0,70.70707070707071,Box Forward,False 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.83,74.62,90.01,74.21,91.18215352186897,98.0,Max
1517,R. Daly,Aston Villa,CF,31.0,0,0,15,1430,173,0,England,England,England,Season,Forward,0,Titular,4.469823788546256,80.80808080808082,37.37373737373738,30.0,85.0,15.0,4.294713656387666,6.1907488986784145,6.3050660792951545,5.644493392070485,7.192951541850221,79.0,6.06146526824195,47.0,50.50505050505052,37.0,82.0,89.0,88.77551020408163,26.0,84.0,89.89898989898991,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.89,78.19,89.28,71.37,89.89987704198138,98.0,Max
1518,V. Corral,Pachuca,CF,31.0,0,0,29,2789,160,0,Mexico,Mexico,Mexico,Season,Forward,0,Titular,4.644273127753303,59.5959595959596,83.83838383838385,97.0,14.0,84.0,7.639207048458149,2.084361233480176,7.227533039647577,8.00044052863436,2.577533039647577,69.0,90.94969346549706,98.0,84.84848484848486,93.0,3.0,99.0,0.0,1.0,17.0,8.080808080808081,Box Forward,False 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.71,63.38,89.2,71.69,89.75935359213071,98.0,Max
1519,P. Hammarlund,Fiorentina,CF,28.0,0,0,16,1174,0,0,Sweden,Sweden,Sweden,Season,Forward,0,Suplente,7.410352422907489,50.50505050505052,43.43434343434344,19.0,29.0,18.0,2.4797356828193835,7.507709251101322,6.797356828193832,6.6682819383259915,4.296916299559472,42.0,44.83408950378052,57.00000000000001,48.484848484848484,64.0,77.0,83.0,90.81632653061223,13.0,90.0,93.93939393939395,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.77,82.8,89.13,75.09,89.63639557351132,98.0,Max
1520,Bea Parra,Atlético de San Luis,CF,35.0,0,0,23,1941,165,0,Spain,Spain,Mexico,Season,Forward,0,Titular,3.225550660792952,31.313131313131315,76.76767676767678,52.0,68.0,60.0,5.904845814977973,5.06101321585903,7.485022026431719,5.413215859030837,6.063436123348017,56.0,84.60738851966197,80.0,74.74747474747477,73.0,54.0,85.0,83.67346938775509,14.0,50.0,52.52525252525253,Box Forward,False 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.32,71.52,89.08,72.04,89.54856841735464,98.0,Max
1521,Esther Gonzalez,Real Madrid,CF,30.0,0,2023-06-30,28,1865,165,0,Spain,Spain,Spain,Season,Forward,0,Titular,6.703744493392071,52.52525252525253,42.42424242424242,60.0,53.0,51.0,6.742731277533039,4.40726872246696,7.069162995594714,4.756828193832599,5.161674008810573,78.0,6.06146526824195,80.0,53.53535353535355,59.0,46.0,97.0,77.55102040816325,9.0,51.0,47.474747474747474,Box Forward,False 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.21,72.72,88.87,74.14,89.17969436149659,98.0,Max
1522,C. Markstedt,Vittsjö,CF,33.0,0,0,26,2461,0,0,Sweden,Sweden,Sweden,Season,Forward,0,Titular,6.530176211453744,58.585858585858595,68.68686868686869,74.0,55.0,74.0,8.609471365638766,3.6724669603524225,7.090528634361233,8.887665198237887,5.256387665198238,35.0,6.06146526824195,96.0,68.68686868686869,86.0,17.0,83.0,90.81632653061223,18.0,17.0,89.89898989898991,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.22,77.51,88.79,70.97,89.0391709116459,98.0,Max
1523,H. Keane,Western United,CF,29.0,0,0,16,1509,180,0,United States,United States,Australia,Season,Forward,0,Titular,6.868502202643171,37.37373737373738,83.83838383838385,95.0,56.0,76.0,7.440969162995595,3.778854625550661,7.038546255506608,6.871806167400881,6.100881057268722,38.0,6.06146526824195,90.0,77.77777777777779,71.0,44.0,85.0,88.77551020408163,35.0,17.0,62.626262626262644,Box Forward,False 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.63,73.28,88.79,73.14,89.0391709116459,98.0,Max
1524,I. Rydell,Gamla Upsala,CF,23.0,0,0,25,1491,0,0,Sweden,Sweden,Sweden 2nd Division,Season,Forward,0,Titular,7.228193832599118,71.71717171717172,44.44444444444445,51.0,81.0,24.0,4.462555066079295,7.279735682819383,5.586343612334802,4.405286343612334,7.225991189427313,60.0,59.67508307703462,76.0,45.45454545454546,78.0,88.0,94.0,0.0,36.0,85.0,56.565656565656575,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.64,70.53,88.77,67.91,89.0040400491832,98.0,Max
1525,E. Polli,Inter Women,CF,22.0,0,0,17,1190,0,0,Italy,Italy,Italy,Season,Forward,0,Suplente,2.778414096916299,72.72727272727273,88.8888888888889,80.0,57.0,70.0,6.8605726872246695,6.037004405286344,8.579735682819384,4.893832599118943,5.2911894273127755,82.0,6.06146526824195,49.0,88.8888888888889,78.0,63.0,76.0,77.55102040816325,10.0,78.0,81.81818181818184,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.51,81.08,88.51,79.15,88.54733883716847,98.0,Max
1526,M. Piemonte,AC Milan,CF,25.0,0,0,18,1482,178,0,Italy,Italy,Italy,Season,Forward,0,Titular,3.226651982378855,49.494949494949495,23.232323232323232,71.0,12.0,36.0,4.0187224669603525,4.83590308370044,4.7795154185022035,6.254185022026432,2.866079295154185,31.0,6.06146526824195,66.0,18.181818181818183,32.0,30.0,84.0,88.77551020408163,7.0,51.0,96.96969696969698,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.92,77.92,88.01,70.23,87.66906727560163,98.0,Max
1527,Bia Zaneratto,Palmeiras,CF,29.0,0,0,18,1716,174,0,Brazil,Brazil,Brazil,Season,Forward,0,Titular,4.978414096916299,75.75757575757576,97.979797979798,93.0,39.0,91.0,8.073348017621147,5.937665198237886,8.855286343612335,7.175770925110132,4.109691629955947,91.0,84.10000412399512,100.0,97.979797979798,98.0,28.000000000000004,73.0,88.77551020408163,3.0,54.0,53.53535353535355,Box Forward,False 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.9,75.9,87.69,79.57,87.10697347619883,98.0,Max
1528,I. Bajramovic,Mallbacken,CF,27.0,0,0,25,2328,0,0,Sweden,Sweden,Sweden 2nd Division,Season,Forward,0,Titular,6.760132158590308,90.90909090909092,84.84848484848486,18.0,53.0,30.0,5.598678414096916,5.9182819383259915,7.321806167400881,8.176651982378853,5.308810572687224,86.0,50.5421639550321,95.0,91.91919191919193,84.0,51.0,88.0,0.0,19.0,51.0,55.55555555555557,Box Forward,False 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.59,67.19,87.66,66.87,87.05427718250483,98.0,Max
1529,S. Öhlund,Gamla Upsala,CF,31.0,0,0,24,1761,0,0,Sweden,Sweden,Sweden 2nd Division,Season,Forward,0,Titular,5.2,70.70707070707071,33.333333333333336,85.0,51.0,36.0,3.959691629955947,3.3301762114537445,5.974008810572688,5.699559471365639,4.884140969162996,57.0,6.06146526824195,62.0,21.21212121212121,42.0,13.0,80.0,75.51020408163265,11.0,17.0,96.96969696969698,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.06,78.48,87.59,70.7,86.93131916388549,98.0,Max
1403,D. Cascarino,Olympique Lyonnais,"RWF, RW, CF",26.0,0,0,14,1043,164,right,France,France,France,Season,Forward,0,Suplente,7.603980891719745,86.86868686868688,96.96969696969698,100.0,40.0,99.0,9.489808917197454,2.801433121019108,8.524840764331211,8.7828025477707,5.081528662420382,82.0,2.9902276630485947,91.0,98.98989898989899,99.0,31.0,65.0,25.510204081632647,29.0,20.0,36.36363636363637,Por dentro,Banda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.31,87.3,67.32,78.42,0.0,0.0,0.0,0.0,86.42192165817671,98.0,Max
1444,Ludmila,Atletico Madrid,"CF, RWF, LWF",28.0,0,0,21,1466,0,0,Brazil,Brazil,Spain,Season,Forward,0,Titular,2.9187898089171975,25.252525252525253,84.84848484848486,94.0,2.0,97.0,9.278184713375797,5.9721337579617835,8.230254777070064,6.649681528662422,1.5302547770700634,27.0,2.9902276630485947,24.0,74.74747474747477,74.0,31.0,86.0,25.510204081632647,2.0,77.0,68.68686868686869,Por dentro,Falso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.34,87.29,58.14,82.5,0.0,0.0,0.0,0.0,86.4043562269454,97.0,Max
1530,S. Smith,Portland Thorns,CF,22.0,0,0,20,1730,0,0,United States,United States,USA,Season,Forward,0,Titular,3.3658590308370044,14.14141414141414,90.90909090909092,97.0,34.0,99.0,9.475770925110131,4.101762114537445,8.490969162995594,7.416299559471365,4.586784140969163,29.0,57.73010956031188,82.0,95.95959595959597,88.0,52.0,95.0,0.0,21.0,48.0,4.040404040404041,Box Forward,False 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.59,62.32,87.26,69.96,86.35165993325137,97.0,Max
1531,S. Kerr,Chelsea,CF,29.0,0,0,14,1047,173,0,Australia,Australia,England,Season,Forward,0,Suplente,3.5257709251101317,34.343434343434346,63.63636363636365,12.0,27.0,47.0,6.511674008810573,2.059691629955947,5.589867841409691,4.493832599118943,3.493832599118943,41.0,6.06146526824195,67.0,67.6767676767677,70.0,6.0,72.0,77.55102040816325,3.0,17.0,96.96969696969698,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.91,82.25,86.96,72.11,85.82469699631125,97.0,Max
1532,B. Lovera,Selfoss,CF,26.0,0,0,18,1700,0,0,United States,United States,Iceland,Season,Forward,0,Titular,6.468061674008811,78.7878787878788,78.7878787878788,82.0,68.0,94.0,8.840308370044053,4.878854625550661,7.189647577092511,7.7687224669603525,6.2,54.0,36.109896700509566,72.0,62.626262626262644,51.0,65.0,74.0,85.71428571428571,19.0,58.0,88.8888888888889,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.04,76.98,86.74,73.18,85.43825750922186,97.0,Max
1533,A. González,América,CF,21.0,0,0,25,1441,169,0,Mexico,Mexico,Mexico,Season,Forward,0,Titular,3.302202643171806,29.292929292929294,56.565656565656575,8.0,85.0,25.0,4.7312775330396475,2.397356828193833,6.93898678414097,7.321145374449339,7.733480176211454,36.0,92.99332505915503,62.0,58.585858585858595,49.0,52.0,89.0,76.53061224489795,33.0,17.0,45.45454545454546,Box Forward,Target Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.86,69.5,86.69,67.47,85.35043035306516,97.0,Max
1402,K. Johnston,Mallbacken,"RW, CF",26.0,0,0,26,2418,0,unknown,United States,United States,Sweden 2nd Division,Season,Forward,0,Titular,7.636146496815288,65.65656565656568,94.94949494949496,94.0,70.0,92.0,8.82547770700637,6.195382165605095,8.728025477707005,8.877707006369427,6.562420382165605,68.0,36.308200332857055,91.0,92.92929292929294,94.0,69.0,96.0,95.91836734693877,56.0,53.0,88.8888888888889,Banda,Por dentro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.67,86.62,74.54,85.73,0.0,0.0,0.0,0.0,85.31529949060251,97.0,Max
1007,Patricia Guijarro,Barcelona,"LCMF, DMF",24.0,0,0,24,1741,170,0,Spain,Spain,Spain,Season,Midfield,0,Titular,7.242309512541411,98.98989898989899,98.98989898989899,75.0,70.0,39.0,4.669427354472314,4.089209654519641,8.479768102224325,7.480359678182678,6.45551348793185,100.0,0.0,99.0,100.0,99.0,54.0,56.00000000000001,41.836734693877546,32.0,33.0,87.87878787878789,Deep Lying Playmaker,Attacking Playmaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.03,86.64,81.91,80.86,70.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.26260319690849,97.0,Max
1534,A. Cervantes,Guadalajara,CF,29.0,0,0,18,1588,163,0,Mexico,Mexico,Mexico,Season,Forward,0,Titular,6.4246696035242294,32.323232323232325,65.65656565656568,70.0,40.0,92.0,8.580837004405286,2.4559471365638768,6.888105726872245,5.530837004405287,4.4493392070484585,42.0,46.14483252591977,62.0,58.585858585858595,34.0,13.0,96.0,93.87755102040816,6.0,17.0,35.35353535353536,Box Forward,False 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.75,66.19,86.35,68.95,84.75320569119972,97.0,Max
